科目区分,必修区分,授業科目,単位数,担当教員
一般,必修,国語ⅠB,2,加田  謙一郎
一般,必修,地理A,1,"小谷 俊博,武長 玄次郎,川元 豊和"
一般,必修,地理B,2,"小谷 俊博,武長 玄次郎,川元 豊和"
一般,必修,美術,1,"加藤 達彦,馬場 喜久"
一般,必修,英語ⅠA,1,小澤 健志
一般,必修,英語ⅠB,1,小澤 健志
一般,必修,英語ⅡA,1,瀬川 直美
一般,必修,英語ⅡB,1,瀬川 直美
一般,必修,英文法,2,小川 祐輔
一般,必修,保健体育ⅠA,1,"清野 哲也,坂田 洋満"
一般,必修,保健体育ⅠB,1,"坂田 洋満,清野 哲也"
一般,必修,基礎数学Ⅰ,3,阿部 孝之
一般,必修,基礎数学Ⅱ,2,阿部 孝之
一般,必修,基礎数学Ⅲ,1,山下 哲
一般,必修,基礎科学,1,高谷 博史
一般,必修,物理学Ⅰ,1,高谷 博史
一般,必修,基礎化学ⅠA,1,藤井 翔
一般,必修,基礎化学ⅠB,1,藤井 翔
専門,必修,コンピュータ入門Ⅰ,1,丸山 真佐夫
専門,必修,コンピュータ入門Ⅱ,1,丸山 真佐夫
専門,必修,コンピュータ演習Ⅰ,1,"米村 恵一,和田 州平"
専門,必修,コンピュータ演習Ⅱ,1,"米村 恵一,和田 州平"
専門,必修,技術者入門Ⅰ,1,"和田 州平,米村 恵一,能城  沙織"
専門,必修,技術者入門Ⅱ,1,"和田 州平,米村 恵一,能城  沙織"
専門,必修,実験・実習ⅠA,1,"米村 恵一,安井 希子"
専門,必修,実験・実習ⅠB,1,"米村 恵一,安井 希子"
一般,必修,国語ⅡA,1,加藤 達彦
一般,必修,国語ⅡB,1,加藤 達彦
一般,必修,歴史A,1,武長 玄次郎
一般,必修,歴史B,2,武長 玄次郎
一般,必修,英語ⅢA,1,小川 祐輔
一般,必修,英語ⅢB,1,小川 祐輔
一般,必修,英語ⅣA,1,岩崎 洋一
一般,必修,英語ⅣB,1,岩崎 洋一
一般,必修,保健体育ⅡA,1,"篠村 朋樹,坂田 洋満,清野 哲也"
一般,必修,保健体育ⅡB,1,"清野 哲也,坂田 洋満"
一般,必修,線形代数ⅠA,1,関口 昌由
一般,必修,線形代数ⅠB,1,関口 昌由
一般,必修,微分積分ⅠA,2,"田所 勇樹,菰田 智恵子"
一般,必修,微分積分ⅠB,2,"田所 勇樹,菰田 智恵子"
一般,必修,物理学ⅡA,1,嘉数 祐子
一般,必修,物理学ⅡB,1,嘉数 祐子
一般,必修,化学ⅠA,1,佐久間 美紀
一般,必修,化学ⅠB,1,佐久間 美紀
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
専門,必修,プログラミング基礎Ⅰ,1,大枝 真一
専門,必修,プログラミング基礎Ⅱ,1,大枝 真一
専門,必修,プログラミング演習ⅠA,1,大枝 真一
専門,必修,プログラミング演習ⅠB,1,大枝 真一
専門,必修,電気回路Ⅰ,1,和﨑 浩幸
専門,必修,電気回路Ⅱ,1,和﨑 浩幸
専門,必修,論理回路Ⅰ,1,大澤 寛
専門,必修,論理回路Ⅱ,1,大澤 寛
専門,必修,実験・実習ⅡA,1,齋藤 康之
専門,必修,実験・実習ⅡB,1,齋藤 康之
一般,必修,国語Ⅲ,1,田嶋 彩香
一般,必修,現代社会A,1,小谷 俊博
一般,必修,現代社会B,2,小谷 俊博
一般,必修,英語ⅤA,1,福士 智哉
一般,必修,英語ⅤB,1,福士 智哉
一般,必修,ドイツ語ⅠA,1,柴田 育子
一般,必修,ドイツ語ⅠB,1,柴田 育子
一般,必修,体育ⅠA,1,"坂田 洋満,清野 哲也"
一般,必修,体育ⅠB,1,"篠村 朋樹,坂田 洋満,清野 哲也"
一般,必修,線形代数Ⅱ,1,阿部 孝之
一般,必修,微分積分Ⅱ,2,"田所 勇樹,菰田 智恵子"
一般,必修,微分積分Ⅲ,2,平井 隼人
一般,必修,ライフサイエンス・アースサイエンス,1,"嘉数 祐子,高谷 博史,福地 健一,佐久間 美紀,藤井 翔"
一般,必修,物理学Ⅲ,1,福地 健一
一般,必修,物理学Ⅳ,1,"高谷 博史,藤本 茂雄"
一般,必修,化学Ⅱ,1,"佐久間 美紀,藤井 翔"
一般,必修選択,一般特別セミナー,1,"小川 祐輔,柴田 育子,瀬川 直美,武長 玄次郎,佐野 照和,鈴木 道治,平井 隼人,加藤 達彦"
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
一般,必修（留学生）,日本語ⅠA,1,"田嶋 彩香,小高 愛"
一般,必修（留学生）,日本事情ⅠA,1,阿部 孝之
一般,必修（留学生）,日本事情ⅠB,1,佐野 照和
一般,必修（留学生）,日本語ⅠB,1,"田嶋 彩香,小高 愛"
一般,必修（留学生）,日本事情ⅡA,1,"和﨑 浩幸,SAPKOTA ACHYUT"
一般,必修（留学生）,日本事情ⅡB,1,"和﨑 浩幸,SAPKOTA ACHYUT"
一般,必修（留学生）,日本事情Ⅲ,1,SAPKOTA ACHYUT
専門,必修,ネットワーク演習,1,齋藤 康之
専門,必修,データ構造とアルゴリズムⅠ,1,SAPKOTA ACHYUT
専門,必修,データ構造とアルゴリズムⅡ,1,SAPKOTA ACHYUT
専門,必修,プログラミング演習ⅡA,1,SAPKOTA ACHYUT
専門,必修,プログラミング演習ⅡB,1,SAPKOTA ACHYUT
専門,必修,情報数学Ⅰ,1,"和田 州平,和田 州平"
専門,必修,情報数学Ⅱ,1,"和田 州平,和田 州平"
専門,必修,ネットワーク入門Ⅰ,1,齋藤 康之
専門,必修,ネットワーク入門Ⅱ,1,齋藤 康之
専門,必修,コンピュータアーキテクチャⅠ,1,能城  沙織
専門,必修,コンピュータアーキテクチャⅡ,1,能城  沙織
専門,必修,実験・実習ⅢA,1,"丸山 真佐夫,和﨑 浩幸"
専門,必修,実験・実習ⅢB,1,"丸山 真佐夫,和﨑 浩幸"
専門,必修選択,プロジェクト実習,1,"和田 州平,米村 恵一,能城  沙織"
一般,必修,国語表現,1,田嶋 彩香
一般,必修,体育Ⅱ,1,"清野 哲也,佐々木 康允,坂田 洋満"
一般,必修選択,英語演習ⅠA,1,"小澤 健志,豊岡 めぐみ,岩崎 洋一"
一般,必修選択,英会話ⅠA,1,"岩崎 洋一,瀬川 直美,GRANT James,Shion Heigen"
一般,必修選択,英語演習ⅠB,1,"小澤 健志,豊岡 めぐみ,岩崎 洋一"
一般,必修選択,英会話ⅠB,1,"岩崎 洋一,瀬川 直美,GRANT James,Shion Heigen"
一般,必修選択,哲学A,2,小谷 俊博
一般,必修選択,経済学A,2,武長 玄次郎
一般,必修選択,社会学A,2,"小谷 俊博,高石 憲明"
一般,必修選択,哲学B,2,小谷 俊博
一般,必修選択,経済学B,2,武長 玄次郎
一般,必修選択,社会学B,2,"小谷 俊博,高石 憲明"
一般,選択,ドイツ語ⅡA,1,柴田 育子
一般,選択,中国語ⅠA,1,"武長 玄次郎,儲 暁菲,安 平,田 力"
一般,選択,ドイツ語ⅡB,1,柴田 育子
一般,選択,中国語ⅠB,1,"武長 玄次郎,儲 暁菲,安 平,田 力"
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
一般,必修,日本語ⅡA,1,"田嶋 彩香,小高 愛"
一般,必修,日本語ⅡB,1,"田嶋 彩香,小高 愛"
専門,必修,コンピュータアーキテクチャⅢ,1,能城  沙織
専門,必修,インターフェース回路,1,和﨑 浩幸
専門,必修,プログラミング言語Ⅰ,2,大枝 真一
専門,必修,プログラミング言語Ⅱ,2,大枝 真一
専門,必修,言語処理系Ⅰ,2,丸山 真佐夫
専門,必修,言語処理系Ⅱ,2,丸山 真佐夫
専門,必修,オペレーティングシステムⅠ,2,和﨑 浩幸
専門,必修,オペレーティングシステムⅡ,2,和﨑 浩幸
専門,必修,計算機インターフェースⅠ,2,栗本 育三郎
専門,必修,計算機インターフェースⅡ,2,栗本 育三郎
専門,必修,情報セキュリティⅠ,2,米村 恵一
専門,必修,情報セキュリティⅡ,2,米村 恵一
専門,必修,プレゼンテーション技法,1,SAPKOTA ACHYUT
専門,必修,プログラミング演習ⅢA,1,丸山 真佐夫
専門,必修,プログラミング演習ⅢB,1,丸山 真佐夫
専門,必修,実験・実習Ⅳ,1,"丸山 真佐夫,和﨑 浩幸"
専門,必修,工業英語,1,SAPKOTA ACHYUT
専門,必修,課題研究,2,"SAPKOTA ACHYUT,大枝 真一,齋藤 康之,丸山 真佐夫,米村 恵一,和﨑 浩幸,和田 州平,吉澤 陽介,栗本 育三郎,能城  沙織"
専門,必修選択,応用数学A,2,田所 勇樹
専門,必修選択,応用数学B,2,鈴木 道治
専門,必修選択,統計学,2,平井 隼人
専門,選択,学外実習,2,SAPKOTA ACHYUT
一般,必修,体育Ⅲ,1,"清野 哲也,佐々木 康允,坂田 洋満"
一般,必修選択,英語演習Ⅱ,1,"小澤 健志,豊岡 めぐみ,岩崎 洋一"
一般,必修選択,英会話Ⅱ,1,"岩崎 洋一,瀬川 直美,GRANT James,Shion Heigen"
一般,選択,国文学,1,加田  謙一郎
一般,選択,心理学,1,小谷 俊博
一般,選択,法学,1,"小谷 俊博,佐々木 誠矢"
一般,選択,ドイツ語ⅢA,1,柴田 育子
一般,選択,中国語ⅡA,1,"武長 玄次郎,武長 玄次郎,儲 暁菲,安 平"
一般,選択,ドイツ語ⅢB,1,柴田 育子
一般,選択,中国語ⅡB,1,"武長 玄次郎,武長 玄次郎,儲 暁菲,安 平"
一般,選択,日本文化論,1,"加藤 達彦,田嶋 彩香"
一般,必修(留学生）,日本語ⅢA,1,"田嶋 彩香,小高 愛"
一般,必修(留学生）,日本語ⅢB,1,"田嶋 彩香,小高 愛"
専門,必修,数値計算,2,SAPKOTA ACHYUT
専門,必修,ソフトウェア設計Ⅰ,2,能城  沙織
専門,必修,ソフトウェア設計Ⅱ,2,能城  沙織
専門,必修,情報理論Ⅰ,1,和田 州平
専門,必修,情報理論Ⅱ,1,和田 州平
専門,必修,ネットワークシステムⅠ,2,"和﨑 浩幸,下馬場 朋禄"
専門,必修,ネットワークシステムⅡ,2,"和﨑 浩幸,下馬場 朋禄"
専門,必修,卒業研究,8,"大枝 真一,齋藤 康之,丸山 真佐夫,米村 恵一,和﨑 浩幸,和田 州平,SAPKOTA ACHYUT,栗本 育三郎,能城  沙織"
専門,選択,画像情報システム,1,和﨑 浩幸
専門,選択,知能システム,1,大枝 真一
専門,選択,制御情報システム,1,SAPKOTA ACHYUT
専門,選択,分散情報システム,1,丸山 真佐夫
専門,選択,信号処理工学,1,安井 希子
専門,選択,認知科学,1,能城  沙織
専門,選択,データマイニング,1,大枝 真一
専門,選択,バイオインフォマティクス,1,SAPKOTA ACHYUT
専門,選択,メディアデザイン,1,"吉澤 陽介,非常勤"
専門,選択,計測システム,1,"SAPKOTA ACHYUT,栗本 育三郎"
